Episode:  60 , Cumulative reward:  -47151.5 , Epsilon: 0.78880000 , Target runs:  3 Crashes:  82
Episode:  61 , Cumulative reward:  -58873.0 , Epsilon: 0.76240000 , Target runs:  2 Crashes:  90
Episode:  62 , Cumulative reward:  -69367.0 , Epsilon: 0.73600000 , Target runs:  1 Crashes:  88
Episode:  63 , Cumulative reward:  -84452.5 , Epsilon: 0.70960000 , Target runs:  0 Crashes:  92
Episode:  64 , Cumulative reward:  -73112.0 , Epsilon: 0.68320000 , Target runs:  1 Crashes:  89
Episode:  65 , Cumulative reward:  -80134.0 , Epsilon: 0.65680000 , Target runs:  0 Crashes:  87
Episode:  66 , Cumulative reward:  -74533.0 , Epsilon: 0.63040000 , Target runs:  1 Crashes:  91
Episode:  67 , Cumulative reward:  -68431.0 , Epsilon: 0.60400000 , Target runs:  1 Crashes:  83
Episode:  68 , Cumulative reward:  -86637.0 , Epsilon: 0.57760000 , Target runs:  0 Crashes:  99
Episode:  69 , Cumulative reward:  -84932.0 , Epsilon: 0.55120000 , Target runs:  0 Crashes:  99
Episode:  70 , Cumulative reward:  -46336.5 , Epsilon: 0.52480000 , Target runs:  3 Crashes:  88
Episode:  71 , Cumulative reward:  -82587.0 , Epsilon: 0.49840000 , Target runs:  0 Crashes:  88
Episode:  72 , Cumulative reward:  -85578.0 , Epsilon: 0.47200000 , Target runs:  0 Crashes:  90
Episode:  73 , Cumulative reward:  -84087.0 , Epsilon: 0.44560000 , Target runs:  0 Crashes:  87
Episode:  74 , Cumulative reward:  -82443.0 , Epsilon: 0.41920000 , Target runs:  0 Crashes:  85
Episode:  75 , Cumulative reward:  -84378.5 , Epsilon: 0.39280000 , Target runs:  0 Crashes:  94
Episode:  76 , Cumulative reward:  -85550.5 , Epsilon: 0.36640000 , Target runs:  0 Crashes:  96
Episode:  77 , Cumulative reward:  -78136.0 , Epsilon: 0.34000000 , Target runs:  0 Crashes:  78
Episode:  78 , Cumulative reward:  -84965.0 , Epsilon: 0.31360000 , Target runs:  0 Crashes:  95
Episode:  79 , Cumulative reward:  -79198.0 , Epsilon: 0.28720000 , Target runs:  0 Crashes:  92
Episode:  80 , Cumulative reward:  -44718.5 , Epsilon: 0.26080000 , Target runs:  3 Crashes:  85
Episode:  81 , Cumulative reward:  -55521.0 , Epsilon: 0.23440000 , Target runs:  2 Crashes:  84
Episode:  82 , Cumulative reward:  7395.5 , Epsilon: 0.20800000 , Target runs:  7 Crashes:  62
Episode:  83 , Cumulative reward:  -82947.5 , Epsilon: 0.18160000 , Target runs:  0 Crashes:  88
Episode:  84 , Cumulative reward:  -89995.5 , Epsilon: 0.15520000 , Target runs:  0 Crashes:  98
Episode:  85 , Cumulative reward:  7051.5 , Epsilon: 0.12880000 , Target runs:  7 Crashes:  62
Episode:  86 , Cumulative reward:  18800.0 , Epsilon: 0.10240000 , Target runs:  8 Crashes:  58
Episode:  87 , Cumulative reward:  -33728.0 , Epsilon: 0.07600000 , Target runs:  4 Crashes:  77
